ADst:	4.929037830519291	(+/- 0.002626927190056836)
EDmt:	5.836106871697413	(+/- 0.0022438469927439893)
HDmt:	6.898226456401621	(+/- 0.040263235558359964)
SPID:	0.22874327497227293	(+/- 1.9232252253460297E-4)
PMF 0 9.153608001456186E-7 5.798007829646036E-9
PMF 1 2.8005014724773213E-5 1.7547180128503375E-7
PMF 2 0.002070974188006674 1.1526941407188592E-5
PMF 3 0.06210686099372724 2.7163929355751305E-4
PMF 4 0.29146819143169717 7.599709703999619E-4
PMF 5 0.37871958910520204 2.2177432881922854E-4
PMF 6 0.19806888444455614 5.869845533404064E-4
PMF 7 0.05398294092464354 2.7022493832077476E-4
PMF 8 0.010506347066120258 6.69001017659311E-5
PMF 9 0.0023891122726082364 1.3299292266913503E-5
PMF 10 4.419621836541498E-4 3.0231310266938305E-6
PMF 11 9.668899904054176E-5 5.45875499094746E-7
PMF 12 4.334345465555653E-5 1.375277607370078E-7
PMF 13 1.94361648547891E-5 5.116321079998595E-8
PMF 14 1.16172572275938E-5 1.664170865569712E-8
PMF 15 9.964428042193685E-6 4.989424073679391E-9
PMF 16 7.334666919289926E-6 1.1254150236672762E-8
PMF 17 4.95931379983087E-6 3.943410480950442E-9
PMF 18 4.573672937010847E-6 8.20186430351047E-10
PMF 19 4.565490313601012E-6 3.865159016474659E-11
PMF 20 4.556731308401523E-6 5.835597890422307E-11
PMF 21 4.450736538481375E-6 9.468490974609234E-10
PMF 22 2.9147839137879312E-6 1.0478471182532413E-8
PMF 23 1.2021259166168821E-6 4.641701850028026E-9
PMF 24 5.353762570831395E-7 1.7953817159658839E-9
PMF 25 7.350035925381641E-8 2.1290846207981054E-9
PMF 26 3.1217559254142046E-10 8.941665367295793E-11
PMF 27 0.0 0.0
CDF 0 9.153608001456186E-7 5.798007829646036E-9
CDF 1 2.892037552491883E-5 1.812670325607322E-7
CDF 2 0.002099894563531593 1.1703086576276609E-5
CDF 3 0.06420675555725883 2.830427548454227E-4
CDF 4 0.355674946988956 0.001004625113466543
CDF 5 0.7343945360941581 9.303669227143878E-4
CDF 6 0.9324634205387142 3.5036215573591923E-4
CDF 7 0.9864463614633577 8.36034624618423E-5
CDF 8 0.996952708529478 1.7067451639678175E-5
CDF 9 0.9993418208020862 3.7808655512986475E-6
CDF 10 0.9997837829857403 7.65475086140193E-7
CDF 11 0.9998804719847809 2.3103820487102074E-7
CDF 12 0.9999238154394364 9.734795411478801E-8
CDF 13 0.9999432516042913 4.886702841374569E-8
CDF 14 0.9999548688615189 3.297385701329958E-8
CDF 15 0.9999648332895611 3.004726896968892E-8
CDF 16 0.9999721679564804 1.9981471320455477E-8
CDF 17 0.9999771272702802 1.7317845737445463E-8
CDF 18 0.9999817009432171 1.7186531082725347E-8
CDF 19 0.9999862664335308 1.717002669047572E-8
CDF 20 0.9999908231648392 1.7173585224759328E-8
CDF 21 0.9999952739013777 1.668587631031528E-8
CDF 22 0.9999981886852914 6.8958683036176235E-9
CDF 23 0.999999390811208 3.1053123599039367E-9
CDF 24 0.9999999261874651 2.1598692093700535E-9
CDF 25 0.9999999996878244 8.941665367295793E-11
CDF 26 1.0 1.4501786002576823E-100
CDF 27 1.0 1.4501786002576823E-100
